Set Name,PG File Path,Topic,Used,Original Path
Week4,Reorganized/BayesConditional/probs_43_with_randomization.pg,Bayes Conditional,1,setAssignment7/probs_43_with_randomization.pg
Week4,Reorganized/Combinatorics/Tuples.pg,Combinatorics,0,setCombinatorics/Tuples.pg
Week4,Reorganized/PokerConditional/poker_cond4_1.pg,Poker Conditional,1,setPokerCondProb/poker_cond4_1.pg
Week4,Reorganized/PokerConditional/poker_cond4_2.pg,Poker Conditional,0,setPokerCondProb/poker_cond4_2.pg
Week4,Reorganized/PokerConditional/poker_cond5_1.pg,Poker Conditional,1,setPokerCondProb/poker_cond5_1.pg
Week4,Reorganized/PokerConditional/poker_cond5_2.pg,Poker Conditional,0,setPokerCondProb/poker_cond5_2.pg
Week4,Reorganized/PokerConditional/poker_cond2_1.pg,Poker Conditional,1,setPokerCondProb/poker_cond2_1.pg
Week4,Reorganized/PokerConditional/poker_cond2_2.pg,Poker Conditional,0,setPokerCondProb/poker_cond2_2.pg
Week4,Reorganized/PokerConditional/poker_cond3.pg,Poker Conditional,1,setPokerCondProb/poker_cond3.pg
Week4,Reorganized/PokerConditional/poker_cond6_1.pg,Poker Conditional,0,setPokerCondProb/poker_cond6_1.pg
Week4,Reorganized/PokerConditional/poker_cond6_2.pg,Poker Conditional,1,setPokerCondProb/poker_cond6_2.pg
Week5,Reorganized/InfiniteSums/Reading5.Matching.pg,Infinite Sums,0,local/setIntro.readingTest/Reading5.Matching.pg
Week5,Reorganized/InfiniteSums/Reading5.trueFalse.pg,Infinite Sums,0,local/setIntro.readingTest/Reading5.trueFalse.pg
Week5,Reorganized/ConditionalProbability/ContingencyTables6.pg,Conditional Probability,0,setmelkherj/ContingencyTables6.pg
Week5,Reorganized/ConditionalProbability/Independence_1.pg,Conditional Probability,1,setAssignment6/Independence_1.pg
Week5,Reorganized/ConditionalProbability/Independence_2.pg,Conditional Probability,0,setAssignment6/Independence_2.pg
Week5,Reorganized/ConditionalProbability/ConditionalProbability.pg,Conditional Probability,1,setAssignment6/ConditionalProbability.pg
Week5,Reorganized/MarkovChebyshev/MarkovInequality.pg,Markov Chebyshev,1,setAssignment10.23.13/MarkovInequality.pg
Week5,Reorganized/MarkovChebyshev/chebyshev_1.pg,Markov Chebyshev,1,setChebyshev/chebyshev_1.pg
Week5,Reorganized/MarkovChebyshev/RiggedDice.pg,Markov Chebyshev,1,setAssignment10.23.13/RiggedDice.pg
Week5,Reorganized/ExpectationVariance/Notes_3_2_1.pg,Expectation Variance,1,setAssignment7/Notes_3_2_1.pg
Week5,Reorganized/ExpectationVariance/Notes_3_2_2.pg,Expectation Variance,1,setAssignment7/Notes_3_2_2.pg
Week5,Reorganized/ExpectationVariance/Notes3_5_3.pg,Expectation Variance,0,setAssignment9/Notes3_5_3.pg
Week5,Reorganized/Covariance/ContingencyTables1.pg,Covariance,1,setmelkherj/ContingencyTables1.pg
Week5,Reorganized/Covariance/ContingencyTables2.pg,Covariance,0,setmelkherj/ContingencyTables2.pg
Week5,Reorganized/Covariance/ContingencyTables5.pg,Covariance,1,setmelkherj/ContingencyTables5.pg
Week5,Reorganized/Covariance/ContingencyTables7.pg,Covariance,0,setmelkherj/ContingencyTables7.pg
Week5,Reorganized/Covariance/ContingencyTables8.pg,Covariance,0,setmelkherj/ContingencyTables8.pg
Week5,Reorganized/Covariance/2.pg,Covariance,0,setAssignment11.06.13/2.pg
Week5,Reorganized/ExponentialPoisson/ur_pb_14_1.pg,Exponential Poisson,1,setExponentialDist/ur_pb_14_1.pg
Week5,Reorganized/ExponentialPoisson/stat212-HW06-20.pg,Exponential Poisson,1,setExponentialDist/stat212-HW06-20.pg
Week6,Reorganized/CentralLimitTheorem/ur_pb_12_4.pg,Central Limit Theorem,1,setAssignment14/ur_pb_12_4.pg
Week6,Reorganized/CentralLimitTheorem/ur_pb_11_7.pg,Central Limit Theorem,1,setAssignment14/ur_pb_11_7.pg
Week6,Reorganized/CentralLimitTheorem/ur_pb_12_3.pg,Central Limit Theorem,1,setAssignment14/ur_pb_12_3.pg
Week6,Reorganized/CentralLimitTheorem/ur_pb_11_1.pg,Central Limit Theorem,0,setAssignment14/ur_pb_11_1.pg
Week6,Reorganized/CentralLimitTheorem/ur_pb_11_3.pg,Central Limit Theorem,0,setAssignment14/ur_pb_11_3.pg
Week6,Reorganized/CentralLimitTheorem/clt_demo.pg,Central Limit Theorem,1,setAssignment11.04.13/clt_demo.pg
Week6,Reorganized/HypothesisTesting/seatbelt.pg,Hypothesis Testing,0,setAssignment17/seatbelt.pg
Week6,Reorganized/HypothesisTesting/error.pg,Hypothesis Testing,1,setAssignment17/error.pg
Week6,Reorganized/HypothesisTesting/psychic.pg,Hypothesis Testing,1,setAssignment17/psychic.pg
Week6,Reorganized/HypothesisTesting/paired_t_test.pg,Hypothesis Testing,1,setAssignment17/paired_t_test.pg
Week6,Reorganized/HypothesisTesting/pooled.pg,Hypothesis Testing,1,setAssignment17/pooled.pg
Week6,Reorganized/HypothesisTesting/gust63.pg,Hypothesis Testing,1,setHypothesisTesting/gust63.pg
Week6,Reorganized/HypothesisTesting/gust75.pg,Hypothesis Testing,1,setHypothesisTesting/gust75.pg
Week6,Reorganized/HypothesisTesting/ur_stt_4_1.pg,Hypothesis Testing,0,local/Library/Rochester/setStatistics4HypothesisTesting/ur_stt_4_1.pg
Week6,Reorganized/HypothesisTesting/MultipleTesting.pg,Hypothesis Testing,1,setHypothesisTesting/MultipleTesting.pg
Week6,Reorganized/HypothesisTesting/drug.pg,Hypothesis Testing,0,setHypothesisTesting/drug.pg
Week7,Reorganized/MarkovChebyshev/ChebyshevProblem.pg,Markov Chebyshev,1,local/setAssignment10.23.13/ChebyshevProblem.pg
Week7,Reorganized/MarkovChebyshev/ChebyshevProblemPart2.pg,Markov Chebyshev,1,local/setAssignment10.23.13/ChebyshevProblem.pg
Week7,Reorganized/ExpectationVariance/probs70.pg,Expectation Variance,0,setAssignment10/probs70.pg
Week7,Reorganized/ExpectationVariance/probs69.pg,Expectation Variance,1,setAssignment10/probs69.pg
Week7,Reorganized/ExpectationVariance/Notes3_5_2.pg,Expectation Variance,0,setAssignment9/Notes3_5_2.pg
Week7,Reorganized/ExpectationVariance/ExpVarOfSum.pg,Expectation Variance,1,setAssignment10.23.13/ExpVarOfSum.pg
Week7,Reorganized/ExponentialPoisson/poisson_zz.pg,Exponential Poisson,1,setExponentialDist/poisson_zz.pg
Week7,Reorganized/ExponentialPoisson/stat212-HW06-17.pg,Exponential Poisson,0,setExponentialDist/stat212-HW06-17.pg
Week7,Reorganized/ExponentialPoisson/ur_pb_9_4.pg,Exponential Poisson,1,setExponentialDist/ur_pb_9_4.pg
Week7,Reorganized/ExponentialPoisson/ur_pb_9_1.pg,Exponential Poisson,0,setExponentialDist/ur_pb_9_1.pg
Week7,Reorganized/ExponentialPoisson/ur_pb_9_2.pg,Exponential Poisson,0,setExponentialDist/ur_pb_9_2.pg
Week7,Reorganized/ExponentialPoisson/poisson_rs.pg,Exponential Poisson,1,setexperimentalProblems/poisson_rs.pg
Week7,Reorganized/Covariance/1.pg,Covariance,1,setAssignment11.06.13/1.pg
Week7,Reorganized/ExpectationVariance/probs77.pg,Expectation Variance,1,setAssignment9/probs77.pg
Week7,Reorganized/RandomizedAlgs/RandAlgs_2_1_ZZ.pg,Monte-Carlo/Las-Vegas,1,New Problem (Akshay)
Week8,Reorganized/RandomizedAlgs/RandAlgs_2_1.pg,Randomized Algorithms,1,setAssignment18/RandAlgs_2_1.pg
Week8,Reorganized/RandomizedAlgs/RandAlgs_2_2.pg,Randomized Algorithms,1,setAssignment18/RandAlgs_2_2.pg
Week8,Reorganized/RandomizedAlgs/probs9QuicksortVariant.pg,Variant on finding percentiles,1,new problem (Sanjeev)
Week8,Reorganized/RandomizedAlgs/Kargers_1.pg,Randomized Algorithms,1,new problem (Ibrahim)
Week9,Reorganized/RandomizedAlgs/Hashing_1.pg,Randomized Algorithms,1,setAssignment19/Hashing_1.pg
Week9,Reorganized/RandomizedAlgs/Hashing_2.pg,Quicksort,1,setAssignment19/Hashing_2.pg
Week9,Reorganized/RandomizedAlgs/probs94.pg,Quicksort,0,setAssignment20/probs94.pg
